Client,Survey,Total Direct Costs,Total Revenue,GP $,GM%,Bid_Node_Type,Bid_Node_Count,Bid_Duration,Total Overhead,Daily Depreciation,Total Depreciation,EBIT$,EBIT%,EBIT$/Day,Taxes,Net $,Net %,Net/Day
BHP,Trion,"$20,075,862 ","$28,275,862 ","$8,200,000.00 ",29.00%,ZXPLR,2000,51,"$1,785,000 ","$8,299 ","$423,249 ","$5,991,751 ",21%,"$117,485 ",,"$5,991,751.00 ",21%,"$117,485 "
Shell ,Whale,"$17,596,552 ","$19,396,552 ","$1,800,000.00 ",9.30%,ZXPLR,3400,125,"$4,375,000 ","$12,065 ","$1,508,125 ","($4,083,125)",-21%,"($32,665)", $-   ,"($4,083,125.00)",-21%,"($32,665)"
Shell ,Leopard,"$9,599,784 ","$13,299,784 ","$3,700,000.00 ",27.80%,ZXPLR,2000,60,"$2,100,000 ","$8,299 ","$497,940 ","$1,102,060 ",8%,"$18,368 ", $-   ,"$1,102,060.00 ",8%,"$18,368 "
BP,Paleogene,"$21,898,732 ","$25,998,732 ","$4,100,000.00 ",15.80%,ZXPLR,4000,90,"$3,150,000 ","$13,679 ","$1,231,110 ","($281,110)",-1%,"($3,123)", $-   ,"($281,110.00)",-1%,"($3,123)"
SLB,Engagement 2,"$35,997,463 ","$44,397,463 ","$8,400,000.00 ",18.90%,ZXPLR,3000,123,"$4,305,000 ","$10,989 ","$1,351,647 ","$2,743,353 ",6%,"$22,304 ", $-   ,"$2,743,353.00 ",6%,"$22,304 "
VAR,Balder,"$4,499,705 ","$5,899,705 ","$1,400,000.00 ",23.70%,MASS,100,35,"$1,225,000 ","$5,313 ","$185,955 ","($10,955)",0%,($313), $-   ,"($10,955.00)",0%,($313)
Aker BP,Valhall,"$3,899,473 ","$5,599,473 ","$1,700,000.00 ",30.40%,Z700,10000,32,"$1,120,000 ","$4,173 ","$133,536 ","$446,464 ",8%,"$13,952 ", $-   ,"$446,464.00 ",8%,"$13,952 "
TGS,NOAKA,"$11,501,036 ","$13,601,036 ","$2,100,000.00 ",15.40%,Z700,14000,50,"$1,750,000 ","$4,173 ","$208,650 ","$141,350 ",1%,"$2,827 ", $-   ,"$141,350.00 ",1%,"$2,827 "
ONGC,Panna Mukta,"$65,815,374 ","$84,715,374 ","$18,900,000.00 ",22.30%,Z700,14000,150,"$5,250,000 ","$4,173 ","$625,950 ","$13,024,050 ",15%,"$86,827 ",$3.80 ,"$13,024,046.20 ",15%,"$86,827 "
Total,Culzean,"$5,798,541 ","$7,698,541 ","$1,900,000.00 ",24.70%,Z700,3200,41,"$1,435,000 ","$4,173 ","$171,093 ","$293,907 ",4%,"$7,168 ", $-   ,"$293,907.00 ",4%,"$7,168 "
BP,Atlantis,"$12,098,973 ","$15,398,973 ","$3,300,000.00 ",21.40%,ZXPLR,4600,56,"$1,960,000 ","$15,293 ","$856,408 ","$483,592 ",3%,"$8,636 ", $-   ,"$483,592.00 ",3%,"$8,636 "
BP,Mad Dog,"$14,802,621 ","$19,102,621 ","$4,300,000.00 ",22.50%,ZXPLR,4600,78,"$2,730,000 ","$15,293 ","$1,192,854 ","$377,146 ",2%,"$4,835 ", $-   ,"$377,146.00 ",2%,"$4,835 "
BP,Atoll,"$31,602,619 ","$41,402,619 ","$9,800,000.00 ",23.70%,MASS,6000,93,"$3,255,000 ","$12,806 ","$1,190,958 ","$5,354,042 ",13%,"$57,570 ", $-   ,"$5,354,042.00 ",13%,"$57,570 "
Shell,Mars Ursa,"$37,952,547 ","$47,452,547 ","$9,500,000.00 ",20.00%,ZXPLR,2400,90,"$3,150,000 ","$9,375 ","$843,750 ","$5,506,250 ",12%,"$61,181 ", $-   ,"$5,506,250.00 ",12%,"$61,181 "
TGS,NOAKA,"$17,904,060 ","$23,004,060 ","$5,100,000.00 ",22.20%,Z700,14000,72,"$2,520,000 ","$4,173 ","$300,456 ","$2,279,544 ",10%,"$31,660 ", $-   ,"$2,279,544.00 ",10%,"$31,660 "
Shell,Gumusut,"$12,763,636 ","$16,363,636 ","$3,600,000.00 ",22.00%,MASS,700,35,"$1,225,000 ","$6,075 ","$212,625 ","$2,162,375 ",13%,"$61,782 ",,"$2,162,375.00 ",13%,"$61,782 "
Exxon,Guyana,"$44,105,240 ","$57,205,240 ","$13,100,000.00 ",22.90%,ZXPLR,4000,150,"$5,250,000 ","$13,679 ","$2,051,850 ","$5,798,150 ",10%,"$38,654 ",,"$5,798,150.00 ",10%,"$38,654 "
BP,Clair,"$21,701,325 ","$29,801,325 ","$8,100,000.00 ",27.20%,Z700,8000,91,"$3,185,000 ","$4,173 ","$379,743 ","$4,535,257 ",15%,"$49,838 ",$0.30 ,"$4,535,256.70 ",15%,"$49,838 "
TGS,A2,"$38,899,450 ","$53,499,450 ","$14,600,000.00 ",27.30%,ZXPLR,3000,134,"$4,690,000 ","$10,989 ","$1,472,526 ","$8,437,474 ",16%,"$62,966 ", $-   ,"$8,437,474.00 ",16%,"$62,966 "
AkerBP,Valhall,"$5,899,510 ","$8,499,510 ","$2,600,000.00 ",30.60%,Z700,10000,38,"$1,330,000 ","$4,173 ","$158,574 ","$1,111,426 ",13%,"$29,248 ", $-   ,"$1,111,426.00 ",13%,"$29,248 "
AkerBP,Ivar Aasen,"$5,400,000 ","$7,500,000 ","$2,100,000.00 ",28.00%,Z700,10100,35,"$1,225,000 ","$4,173 ","$146,055 ","$728,945 ",10%,"$20,827 ", $-   ,"$728,945.00 ",10%,"$20,827 "
Shell,Momentum,"$28,797,873 ","$38,597,873 ","$9,800,000.00 ",25.40%,ZXPLR,3500,96,"$3,360,000 ","$12,334 ","$1,184,064 ","$5,255,936 ",14%,"$54,749 ", $-   ,"$5,255,936.00 ",14%,"$54,749 "
Chevron,Jack,"$19,100,332 ","$29,900,332 ","$10,800,000.00 ",36.10%,MASS,2500,164,"$5,740,000 ","$8,361 ","$1,371,204 ","$3,688,796 ",12%,"$22,493 ", $-   ,"$3,688,796.00 ",12%,"$22,493 "
Neo,Isolde,"$8,401,696 ","$13,001,696 ","$4,600,000.00 ",35.40%,Z700,3715,60,"$2,100,000 ","$4,173 ","$250,380 ","$2,249,620 ",17%,"$37,494 ",$0.10 ,"$2,249,619.90 ",17%,"$37,494 "
Oxy,K2,"$18,702,270 ","$26,702,270 ","$8,000,000.00 ",30.00%,ZXPLR,1667,145,"$5,075,000 ","$7,403 ","$1,073,468 ","$1,851,532 ",7%,"$12,769 ", $-   ,"$1,851,531.70 ",7%,"$12,769 "
BP,Atlantis,"$12,600,000 ","$18,000,000 ","$5,400,000.00 ",30.00%,ZXPLR,5100,60,"$2,100,000 ","$16,638 ","$998,280 ","$2,301,720 ",13%,"$38,362 ", $-   ,"$2,301,720.00 ",13%,"$38,362 "
BP,Thunderhorse,"$19,902,514 ","$28,202,514 ","$8,300,000.00 ",29.40%,ZXPLR,4400,74,"$2,590,000 ","$14,755 ","$1,091,870 ","$4,618,130 ",16%,"$62,407 ", $-   ,"$4,618,130.00 ",16%,"$62,407 "
BP,GGG,"$38,850,000 ","$55,500,000 ","$16,650,000.00 ",30.00%,ZXPLR,5800,144,"$5,040,000 ","$18,521 ","$2,667,024 ","$8,942,976 ",16%,"$62,104 ", $-   ,"$8,942,976.00 ",16%,"$62,104 "
Equinor,Oseberg,"$29,895,982 ","$46,595,982 ","$16,700,000.00 ",35.80%,GPR300,4800,142,"$4,970,000 ","$3,133 ","$444,886 ","$11,285,114 ",24%,"$79,473 ", $-   ,"$11,285,114.00 ",24%,"$79,473 "
Total,Egina,"$17,500,000 ","$28,000,000 ","$10,500,000.00 ",37.50%,ZXPLR,1750,90,"$3,150,000 ","$7,627 ","$686,385 ","$6,663,615 ",24%,"$74,040 ",$2.00 ,"$6,663,613.00 ",24%,"$74,040 "
Chevron,Agbami,"$14,398,007 ","$20,598,007 ","$6,200,000.00 ",30.10%,ZXPLR,1750,72,"$2,520,000 ","$7,627 ","$549,108 ","$3,130,892 ",15%,"$43,485 ", $-   ,"$3,130,892.00 ",15%,"$43,485 "
Shell,Bonga,"$31,885,714 ","$44,285,714 ","$12,400,000.00 ",28.00%,ZXPLR,2450,95,"$3,325,000 ","$9,510 ","$903,403 ","$8,171,598 ",18%,"$86,017 ", $-   ,"$8,171,597.50 ",18%,"$86,017 "
CGG,Inception,"$14,496,831 ","$19,896,831 ","$5,400,000.00 ",27.10%,MASS,1750,96,"$3,360,000 ","$7,409 ","$711,216 ","$1,328,784 ",7%,"$13,842 ", $-   ,"$1,328,784.00 ",7%,"$13,842 "
Viridien,Laconia,"$88,200,000 ","$117,600,000 ","$29,400,000.00 ",25.00%,MASS,5200,270,"$9,450,000 ","$11,790 ","$3,183,300 ","$16,766,700 ",14%,"$62,099 ", $-   ,"$16,766,700.00 ",14%,"$62,099 "
Shell,GoM 4D,"$64,411,111 ","$83,111,111 ","$18,700,000.00 ",22.50%,ZXPLR,4500,280,"$9,800,000 ","$15,024 ","$4,206,720 ","$4,693,280 ",6%,"$16,762 ", $-   ,"$4,693,280.00 ",6%,"$16,762 "
AkerBP,Valhall,"$6,300,000 ","$8,400,000 ","$2,100,000.00 ",25.00%,Z700,7000,35,"$1,225,000 ","$4,173 ","$146,055 ","$728,945 ",9%,"$20,827 ", $-   ,"$728,945.00 ",9%,"$20,827 "
EOG,Trinidad,"$18,790,909 ","$24,090,909 ","$5,300,000.00 ",22.00%,Z700,12500,70,"$2,450,000 ","$4,173 ","$292,110 ","$2,557,890 ",11%,"$36,541 ",$0.10 ,"$2,557,889.90 ",11%,"$36,541 "
TGS/Viridien MC,Laconia Ph3,"$40,756,485 ","$53,556,485 ","$12,800,000.00 ",23.90%,ZXPLR,4000,138,"$4,830,000 ","$13,679 ","$1,887,702 ","$6,082,298 ",11%,"$44,075 ", $-   ,"$6,082,298.00 ",11%,"$44,075 "
BP,Clair,"$20,800,000 ","$26,000,000 ","$5,200,000.00 ",20.00%,Z700,6000,63.5,"$2,143,125 ","$4,173 ","$264,986 ","$2,791,890 ",10.70%,"$43,967 ", $-   ,$2.30 ,0%,$0 
